Paycheck_ID,Employee_ID,Start_Date,End_date,TimeElapsed,HourlyWage,TotalPay
1,00309,10/18/2021,10/31/2021,40,300,12000
2,00309,11/1/2021,11/14/2021,40,300,12000
3,00333,10/18/2021,10/31/2021,40,200,8000
4,00333,11/1/2021,11/14/2021,40,200,8000
5,04079,10/18/2021,10/31/2021,40,200,8000
6,04079,11/1/2021,11/14/2021,40,200,8000
7,02864,10/18/2021,10/31/2021,40,200,8000
8,02864,11/1/2021,11/14/2021,40,200,8000
9,01994,10/18/2021,10/31/2021,40,200,8000
10,01994,11/1/2021,11/14/2021,40,200,8000
11,48389,10/18/2021,10/31/2021,40,150,6000
12,48389,11/1/2021,11/14/2021,40,150,6000
13,13965,10/18/2021,10/31/2021,40,150,6000
14,13965,11/1/2021,11/14/2021,40,150,6000
15,56587,10/18/2021,10/31/2021,40,150,6000
16,56587,11/1/2021,11/14/2021,40,150,6000
17,64517,10/18/2021,10/31/2021,40,150,6000
18,64517,11/1/2021,11/14/2021,40,150,6000
19,84432,10/18/2021,10/31/2021,40,150,6000
20,84432,11/1/2021,11/14/2021,40,150,6000
21,33206,10/18/2021,10/31/2021,40,150,6000
22,33206,11/1/2021,11/14/2021,40,150,6000
23,87640,10/18/2021,10/31/2021,40,150,6000
24,87640,11/1/2021,11/14/2021,40,150,6000
25,53725,10/18/2021,10/31/2021,40,150,6000
26,53725,11/1/2021,11/14/2021,40,150,6000
27,50970,10/18/2021,10/31/2021,40,50,2000
28,50970,11/1/2021,11/14/2021,40,50,2000
29,88023,10/18/2021,10/31/2021,40,50,2000
30,88023,11/1/2021,11/14/2021,40,50,2000
31,98090,10/18/2021,10/31/2021,40,50,2000
32,98090,11/1/2021,11/14/2021,40,50,2000
33,22191,10/18/2021,10/31/2021,40,50,2000
34,22191,11/1/2021,11/14/2021,40,50,2000
35,52986,10/18/2021,10/31/2021,40,50,2000
36,52986,11/1/2021,11/14/2021,40,50,2000
37,17960,10/18/2021,10/31/2021,40,50,2000
38,17960,11/1/2021,11/14/2021,40,50,2000
39,46627,10/18/2021,10/31/2021,40,50,2000
40,46627,11/1/2021,11/14/2021,40,50,2000
41,77030,10/18/2021,10/31/2021,40,50,2000
42,77030,11/1/2021,11/14/2021,40,50,2000
43,32569,10/18/2021,10/31/2021,40,50,2000
44,32569,11/1/2021,11/14/2021,40,50,2000
45,41471,10/18/2021,10/31/2021,40,50,2000
46,41471,11/1/2021,11/14/2021,40,50,2000
47,92127,10/18/2021,10/31/2021,40,50,2000
48,92127,11/1/2021,11/14/2021,40,50,2000
49,62988,10/18/2021,10/31/2021,40,50,2000
50,62988,11/1/2021,11/14/2021,40,50,2000
51,79469,10/18/2021,10/31/2021,40,50,2000
52,79469,11/1/2021,11/14/2021,40,50,2000
53,82559,10/18/2021,10/31/2021,40,50,2000
54,82559,11/1/2021,11/14/2021,40,50,2000
55,43204,10/18/2021,10/31/2021,40,50,2000
56,43204,11/1/2021,11/14/2021,40,50,2000
57,16946,10/18/2021,10/31/2021,40,50,2000
58,16946,11/1/2021,11/14/2021,40,50,2000
59,80491,10/18/2021,10/31/2021,40,50,2000
60,80491,11/1/2021,11/14/2021,40,50,2000
61,89998,10/18/2021,10/31/2021,40,50,2000
62,89998,11/1/2021,11/14/2021,40,50,2000
63,68172,10/18/2021,10/31/2021,40,50,2000
64,68172,11/1/2021,11/14/2021,40,50,2000
65,19396,10/18/2021,10/31/2021,40,50,2000
66,19396,11/1/2021,11/14/2021,40,50,2000
67,94324,10/18/2021,10/31/2021,40,50,2000
68,94324,11/1/2021,11/14/2021,40,50,2000
69,98510,10/18/2021,10/31/2021,40,50,2000
70,98510,11/1/2021,11/14/2021,40,50,2000
71,76834,10/18/2021,10/31/2021,40,50,2000
72,76834,11/1/2021,11/14/2021,40,50,2000
73,01079,10/18/2021,10/31/2021,40,50,2000
74,01079,11/1/2021,11/14/2021,40,50,2000
75,31632,10/18/2021,10/31/2021,40,50,2000
76,31632,11/1/2021,11/14/2021,40,50,2000
77,46746,10/18/2021,10/31/2021,40,50,2000
78,46746,11/1/2021,11/14/2021,40,50,2000
79,10538,10/18/2021,10/31/2021,40,50,2000
80,10538,11/1/2021,11/14/2021,40,50,2000
81,99184,10/18/2021,10/31/2021,40,50,2000
82,99184,11/1/2021,11/14/2021,40,50,2000
83,19629,10/18/2021,10/31/2021,40,50,2000
84,19629,11/1/2021,11/14/2021,40,50,2000
85,92323,10/18/2021,10/31/2021,40,50,2000
86,92323,11/1/2021,11/14/2021,40,50,2000
87,51872,10/18/2021,10/31/2021,40,50,2000
88,51872,11/1/2021,11/14/2021,40,50,2000
89,77861,10/18/2021,10/31/2021,40,50,2000
90,77861,11/1/2021,11/14/2021,40,50,2000
91,82072,10/18/2021,10/31/2021,40,50,2000
92,82072,11/1/2021,11/14/2021,40,50,2000
93,46737,10/18/2021,10/31/2021,40,50,2000
94,46737,11/1/2021,11/14/2021,40,50,2000
95,87457,10/18/2021,10/31/2021,40,50,2000
96,87457,11/1/2021,11/14/2021,40,50,2000
97,02185,10/18/2021,10/31/2021,40,50,2000
98,02185,11/1/2021,11/14/2021,40,50,2000
99,63754,10/18/2021,10/31/2021,40,50,2000
100,63754,11/1/2021,11/14/2021,40,50,2000
